# R.D. Deslattes, E.G. Kessler Jr., P. Indelicato, L. de Billy, E. Lindroth, J. Anton, J.S. Coursey, D.J. Schwab, C. Chang, R. Sukumar, K. Olsen, and R.A. Dragoset (2005), X-ray Transition Energies (version 1.2). [Online] Available: http://physics.nist.gov/XrayTrans [2009, May 22]. National Institute of Standards and Technology, Gaithersburg, MD. 
# Elements: All (Neon - Fermium)
# Transitions: All
# Energy Range: 0 eV - 200000 eV
# Sorted by Energy
# Downloaded: 22-May-2009
# Ele.	A	Trans.	Theory (eV)	Unc. (eV)	Direct (eV)	Unc. (eV)	Combined (eV)	Unc. (eV)	Vapor (eV)	Unc. (eV)	Blend	Ref.
Sm		L2N4	7184.9	3.3	7178.09	0.17						1,32d
Gd		L1M5	7188.8	1.9	7191.6	1.9						1d
Pm		L1N3	7189.3	1.7								
Tb		L3N2	7195.4	3.9								
Hf		L3M2	7196.7	1.7	7195.52	0.56						1d
Dy		L1M2	7203.4	2.4	7203.96	0.43						1d
Lu		L3M3	7221.7	1.7								
Tb		L3N3	7231.17	0.92	7226.9	1.3						41d
Gd		L3N6	7234.19	0.63								
Gd		L3N7	7237.50	0.63								
Dy		L2M4	7248.3	1.3	7247.80	0.44						1d
Eu		L2N1	7253.8	3.8	7255.47	0.70						1,34d
Gd		L3 edge	7254.88	0.33	7243.23	0.63	7246.66	0.90	7251.9	2.0		1d 21v
Er		L2M2	7259.3	1.7								
Ho		L1M1	7264.1	2.6								
Dy		L2M5	7285.7	1.2	7277.2	1.3						44d
Pm		L1N4	7301.2	4.3								
Sm		L2N6	7301.27	0.77	7308.00	0.86					L2N6,7	32d
Pm		L1N5	7302.3	1.4								
Sm		L2N7			7308.00	0.86					L2N6,7	32d
Tm		L2M1	7311.8	2.2	7309.30	0.56						3d
Sm		L2 edge	7314.76	0.44	7313.30	0.64	7314.92	0.57	7312.8	2.0		1d 21v
Ni		KL1	7323.29	0.65								
Eu		L2N2	7326	15	7331.4	2.2						36d
Tb		L3N4	7354.6	2.4	7366.7	1.3					L3N4,5	1d
Eu		L2N3	7357.6	1.0								
Tb		L3N5	7363.50	0.60	7366.7	1.3					L3N4,5	1d
Yb		L3M4	7369.1	1.3	7367.40	0.32						1d
Dy		L1M3	7371.4	2.4	7370.2	1.3						1d
Dy		L3N1	7372.5	2.0	7370.56	0.45						1d
Sm		L1N1	7387.5	4.7								
W		L3M1	7388.1	1.7	7387.82	0.65						1d
Ta		L3M2	7413.8	1.7	7412.13	0.35						1,57d
Yb		L3M5	7416.3	1.2	7415.70	0.26						1d
Pm		L1N6	7416.9	1.5								
Sm		L1N2	7429	16	7467.19	0.37						1,32d
Pm		L1 edge	7430.2	1.1	7435.7	3.3						1d
Tb		L1M4	7431.3	2.0	7436.1	2.0						1d
Dy		L3N2	7452.3	2.1								
Hf		L3M3	7453.1	1.8	7453.28	0.60						1d
Er		L2M3	7453.3	1.7	7461.31	0.45						50d
Ni		KL2	7459.96	0.47	7461.0343	0.0045						7d
Tb		L1M5	7466.5	2.0								
Ho		L1M2	7471.3	2.5	7471.1	1.3						1d
Ni		KL3	7477.72	0.44	7478.2521	0.0045						7d
Eu		L2N4	7478.5	3.0	7479.12	0.43						1,34d
Eu		L2N5	7480.82	0.67								
Dy		L3N3	7483.74	0.48	7494.77	0.91						44d
Sm		L1N3	7487.1	1.8	7486.82	0.20						1,32d
Tb		L3N6	7503.43	0.68								
Tb		L3N7	7506.02	0.69								
Tb		L3 edge	7516.62	0.39	7515.45	0.67	7513.2	2.0				1d
Ho		L2M4	7526.4	1.3	7525.67	0.15						3d
Tm		L2M2	7529.0	1.7								
Er		L1M1	7533.4	2.8								
Gd		L2N1	7550.9	3.7	7554.4	1.4						1d
Ho		L2M5	7566.1	1.2								
Yb		L2M1	7582.8	2.3	7580.24	0.34						1d
Re		L3M1	7604.4	1.7	7603.67	0.35						1d
Lu		L3M4	7605.0	1.2	7604.92	0.35						1d
Sm		L1N5	7605.2	1.4	7606.24	0.38					L1N4,5	31,32,33d
Eu		L2N6	7606.73	0.76	7612.87	0.94					L2N6,7	34d
Sm		L1N4	7608.0	4.0	7606.24	0.38					L1N4,5	31,32,33d
Co		KM1	7609.0	1.5								
Eu		L2N7	7609.40	0.75	7612.87	0.94					L2N6,7	34d
Dy		L3N4	7620.0	2.1	7635.84	0.49					L3N4,5	1d
Eu		L2 edge	7620.28	0.45	7619.83	0.69	7614.32	0.98				1d
Gd		L2N2	7625.7	4.1	7642.67	0.47						39d
Dy		L3N5	7629.92	0.55	7635.84	0.49					L3N4,5	1d
W		L3M2	7633.4	1.7	7631.41	0.86						1,59d
Ho		L3N1	7640.8	3.4	7635.8	1.4						1d
Co		KM2	7645.5	1.0	7649.445	0.014					KM2,3	7d
Co		KM3	7651.5	1.1	7649.445	0.014					KM2,3	7d
Ho		L1M3	7651.9	2.5	7651.8	1.4						1d
Lu		L3M5	7655.8	1.2	7655.55	0.21						1d
Gd		L2N3	7660.08	0.97	7657.7	1.2						37,38d
Eu		L1N1	7687.2	4.5	7687.6	2.4						35d
Ta		L3M3	7688.2	1.8	7686.65	0.38						1,57d
Co		KM4	7708.35	0.52	7705.98	0.21					KM4,5	1d
Co		KM5	7709.15	0.54	7705.98	0.21					KM4,5	1d
Dy		L1M4	7713.1	2.1	7712.79	0.58						1,44d
Co		KN1	7716.05	0.21								
Ho		L3N2	7723.8	3.6	7727.16	0.48						47d
Co		K edge	7724.26	0.13	7708.776	0.020	7708.75	0.80				13d
Sm		L1N6	7724.4	1.5	7734.03	0.90					L1N6,7	31,33d
Sm		L1N7			7734.03	0.90					L1N6,7	31,33d
Tm		L2M3	7737.2	1.7	7728.6	2.4						54d
Sm		L1 edge	7737.9	1.2	7747.93	0.72	7739.29	0.58				1d
Er		L1M2	7745.5	2.5	7744.75	0.14						3d
Dy		L1M5	7750.4	2.0	7749.57	0.59						1,44d
Eu		L1N2	7760	16	7768.10	0.81						1,34d
Ho		L3N3	7764.70	0.85	7763.52	0.49						47d
Dy		L3N6	7780.03	0.62								
Gd		L2N4	7781.0	2.7	7785.9	1.4						1d
Dy		L3N7	7782.50	0.65								
Gd		L2N5	7788.91	0.63								
Eu		L1N3	7791.0	1.8	7794.11	0.81						1,34d
Dy		L3 edge	7792.90	0.34	7789.79	0.72	7786.0	1.6				1d
Yb		L2M2	7805.4	1.8	7805.29	0.65						1d
Tm		L1M1	7808.9	2.9	7814.0	2.5						54d
Er		L2M4	7811.5	1.3	7810.19	0.42						3d
Os		L3M1	7823.3	1.8	7822.33	0.51						1d
Hf		L3M4	7844.7	1.2	7844.70	0.37						1d
Er		L2M5	7853.6	1.2								
Tb		L2N1	7855.1	3.7	7853.4	1.5						1d
Re		L3M2	7855.7	1.7	7852.45	0.74						1d
Lu		L2M1	7858.6	2.4	7857.43	0.74						1d
Cu		KL1	7884.83	0.68								
Ho		L3N4	7894.5	1.8	7902.86	0.25						47d
Hf		L3M5	7899.1	1.2	7899.08	0.37						1d
Ho		L3N5	7906.26	0.55	7911.35	0.25						47d
Er		L3N1	7908.7	3.3	7909.6	1.5						1d
Eu		L1N4	7911.9	3.8	7914.56	0.36					L1N4,5	34,35d
Eu		L1N5	7914.2	1.4	7914.56	0.36					L1N4,5	34,35d
Gd		L2N6	7921.33	0.71								
Gd		L2N7	7924.64	0.71								
W		L3M3	7926.8	1.8	7926.44	0.93						1,59d
Tb		L2N2	7932.7	4.0	7935.81	0.51						43d
Er		L1M3	7939.5	2.6	7939.007	0.086						3d
Gd		L2 edge	7942.02	0.41	7931.32	0.75	7934.3	1.1	7940.5	2.0		1d 21v
Tb		L2N3	7968.5	1.0	7968.42	0.49						41,43d
Er		L3N2	7994.6	3.5								
Gd		L1N1	7994.8	4.4								
Ho		L1M4	8001.8	2.1	8004.08	0.15						76d
Tm		L1M2	8026.1	2.6	8025.8	1.5						1d
Cu		KL2	8028.38	0.48	8027.8416	0.0026						7d
Yb		L2M3	8028.6	1.8	8024.08	0.52						55d
Er		L3N3	8038.29	0.84								
Eu		L1N6	8040.1	1.5								
Ho		L1M5	8041.5	2.0	8044.61	0.14						76d
Eu		L1N7	8042.8	1.5								
Ir		L3M1	8044.7	1.8	8045.89	0.23						1d
Cu		KL3	8048.11	0.45	8047.8227	0.0026						7d
Eu		L1 edge	8053.7	1.2	8060.75	0.78	8047.53	0.88				1d
Ho		L3N6	8060.83	0.62								
Ho		L3N7	8063.15	0.65								
Gd		L1N2	8069.6	4.9	8087.0	1.6						1d
Ho		L3 edge	8073.31	0.34	8067.56	0.78	8071.1	1.8				1d
Os		L3M2	8080.6	1.8	8078.6	1.6						1d
Lu		L2M2	8086.5	1.7	8085.82	0.70						1d
Ta		L3M4	8088.2	1.2	8087.93	0.16						1d
Yb		L1M1	8091.0	3.1								
Tb		L2N4	8091.9	2.5	8101.8	1.6						1d
Tb		L2N5	8100.81	0.68								
Tm		L2M4	8103.8	1.3	8102.265	0.037						3d
Gd		L1N3	8104.0	1.7	8105.0	1.6						1d
Hf		L2M1	8140.8	2.4	8139.33	0.40						1d
Ta		L3M5	8146.5	1.2	8146.17	0.16						1d
Tm		L2M5	8148.5	1.2	8146.0	1.6						53d
Dy		L2N1	8162.9	2.1	8166.19	0.56						1d
Re		L3M3	8169.3	1.9	8168.55	0.80						1d
Er		L3N4	8172.4	1.5	8189.11	0.72					L3N4,5	1d
Tm		L3N1	8181.2	3.1	8177.2	1.6						1d
Er		L3N5	8184.52	0.55	8189.11	0.72					L3N4,5	1d
Ni		KM1	8222.2	1.4								
Gd		L1N4	8224.9	3.4	8237.2	1.0					L1N4,5	37,38d
Gd		L1N5	8232.8	1.4	8237.2	1.0					L1N4,5	37,38d
Tm		L1M3	8234.3	2.6	8230.9	1.6						1d
Tb		L2N6	8240.74	0.75								
Dy		L2N2	8242.6	2.2								
Tb		L2N7	8243.33	0.77								
Tb		L2 edge	8253.93	0.46	8252.83	0.81	8254.9	4.4				1d
Ni		KM2	8262.4	1.1	8264.775	0.017					KM2,3	7d
Ni		KM3	8267.6	1.1	8264.775	0.017					KM2,3	7d
Pt		L3M1	8268.3	1.8	8268.2	1.6						1d
Tm		L3N2	8270.1	3.4	8263.1	1.7						53d
Dy		L2N3	8274.10	0.56	8286.4	1.1						44d
Er		L1M4	8297.8	2.1	8298.1	2.5						1d
Ir		L3M2	8308.1	1.8	8304.2	2.5						1d
Tb		L1N1	8309.3	4.4	8313.88	0.56						42d
Yb		L1M2	8313.6	2.7	8313.26	0.25						1d
Tm		L3N3	8316.72	0.83								
Lu		L2M3	8325.9	1.8	8323.17	0.56						56d
Ni		KM4	8330.91	0.54	8328.68	0.33					KM4,5	1d
Ni		KM5	8331.59	0.56	8328.68	0.33					KM4,5	1d
W		L3M4	8335.2	1.2	8335.34	0.17						1d
Ni		KN1	8338.94	0.22								
Er		L1M5	8339.9	2.1	8340.66	0.56						1,52d
Er		L3N6	8346.63	0.63								
Ni		K edge	8347.42	0.14	8331.486	0.020	8331.0	1.4				13d
Er		L3N7	8348.75	0.65								
Er		L3 edge	8358.66	0.34	8357.42	0.83	8359.4	1.5	8358.7	2.0		1d 21v
Gd		L1N6	8365.2	1.5								
Gd		L1N7	8368.5	1.5								
Hf		L2M2	8374.4	1.7	8373.56	0.75						1d
Lu		L1M1	8378.4	3.1								
Gd		L1 edge	8385.9	1.2	8386.25	0.84	8381.7	1.4				1d
Tb		L1N2	8386.9	4.8	8397.6	1.7						1d
W		L3M5	8397.6	1.2	8398.242	0.054						1,58d
Yb		L2M4	8403.6	1.4	8401.88	0.42						1d
Dy		L2N4	8410.3	2.1	8418.94	0.59						1d
Os		L3M3	8415.4	1.9	8414.1	1.7						1d
Dy		L2N5	8420.27	0.63								
Tb		L1N3	8422.7	1.8	8423.9	1.7						1d
Ta		L2M1	8429.6	2.4	8428.09	0.42						1d
Yb		L2M5	8450.8	1.2								
Tm		L3N4	8455.6	1.2	8468.7	1.7					L3N4,5	1d
Yb		L3N1	8458.2	3.0	8456.61	0.85						1d
Zn		KL1	8465.23	0.68								
Tm		L3N5	8467.65	0.55	8468.7	1.7					L3N4,5	1d
Ho		L2N1	8487.3	3.5	8481.5	1.7						1d
Au		L3M1	8494.3	1.8	8494.03	0.78						1d
Yb		L1M3	8536.8	2.8	8536.79	0.43						1d
Pt		L3M2	8538.0	1.8	8532.9	1.7						1d
Tb		L1N4	8546.2	3.2	8558.88	0.59					L1N4,5	42d
Yb		L3N2	8550.0	3.1								
Tb		L1N5	8555.0	1.5	8558.88	0.59					L1N4,5	42d
Ho		L2N2	8570.2	3.7								
Dy		L2N6	8570.38	0.71								
Dy		L2N7	8572.86	0.72								
Dy		L2 edge	8583.26	0.42	8583.06	0.88	8580.2	1.2				1d
Re		L3M4	8586.2	1.2	8586.27	0.44						1d
Yb		L3N3	8599.39	0.79								
Tm		L1M4	8600.9	2.2	8600.8	1.5						1,53d
Lu		L1M2	8606.3	2.7	8606.54	0.44						1d
Ho		L2N3	8611.15	0.93								
Zn		KL2	8616.22	0.50	8615.823	0.073						1,6d
Dy		L1N1	8627.7	2.9								
Hf		L2M3	8630.8	1.8	8631.28	0.80						1d
Tm		L3N6	8637.46	0.63								
Zn		KL3	8639.10	0.45	8638.906	0.073						1,6d
Tm		L3N7	8639.35	0.67								
Tm		L1M5	8645.6	2.1	8648.6	1.5						1,53d
Tm		L3 edge	8648.97	0.34	8649.53	0.89	8648.1	1.6				1d
Re		L3M5	8652.8	1.2	8652.55	0.36						1d
Ir		L3M3	8665.3	1.9	8659.2	1.8						1d
Ta		L2M2	8669.0	1.8	8668.56	0.49						1,57d
Hf		L1M1	8672.4	3.1	8668.58	0.81						1d
Tb		L1N6	8694.9	1.5								
Tb		L1N7	8697.5	1.5								
Dy		L1N2	8707.4	3.0	8714.09	0.63						1d
Tb		L1 edge	8708.1	1.2	8717.03	0.91	8713.8	6.0				1d
Lu		L2M4	8709.1	1.3	8709.13	0.27						1d
Hg		L3M1	8722.6	1.9	8721.32	0.91						1d
W		L2M1	8725.0	2.4	8724.42	0.25						1,58d
Dy		L1N3	8738.9	1.4	8753.34	0.64						1d
Lu		L3N1	8739.8	3.0	8737.92	0.91						1d
Ho		L2N4	8741.0	1.8	8747.2	1.8						1d
Yb		L3N4	8743.73	0.91	8758.91	0.46					L3N4,5	1d
Ho		L2N5	8752.71	0.63								
Yb		L3N5	8755.69	0.55	8758.91	0.46					L3N4,5	1d
Lu		L2M5	8760.0	1.2								
Au		L3M2	8770.4	1.8	8770.31	0.64						1d
Er		L2N1	8814.5	3.4	8813.7	2.8						1d
Lu		L3N2	8834.5	3.2								
Os		L3M4	8841.0	1.3	8841.10	0.47						1d
Lu		L1M3	8845.6	2.7	8847.03	0.47						1d
Cu		KM1	8859.8	1.4								
Dy		L1N4	8875.1	2.9								
Dy		L1N5	8885.1	1.4	8889.3	3.2						45d
Lu		L3N3	8888.09	0.81								
Er		L2N2	8900.3	3.5								
Cu		KM2	8904.0	1.1	8905.413	0.038					KM2,3	7d
Hf		L1M2	8906.0	2.7	8905.50	0.47						1d
Cu		KM3	8906.9	1.2	8905.413	0.038					KM2,3	7d
Ho		L2N6	8907.28	0.70								
Ho		L2N7	8909.60	0.74								
Yb		L1M4	8911.7	2.3	8913.31	0.14						76d
Os		L3M5	8911.9	1.2	8911.83	0.47						1d
Pt		L3M3	8918.8	2.0	8922.8	1.9						1d
Ho		L2 edge	8919.77	0.42	8916.38	0.95	8913.9	1.7				1d
Yb		L3N6	8933.35	0.64								
Yb		L3N7	8935.09	0.68								
Ta		L2M3	8943.4	1.9	8941.76	0.54						1,57d
Er		L2N3	8944.03	0.93	8946.94	0.65						49d
Yb		L3 edge	8944.26	0.35	8944.04	0.95	8946.6	6.5				1d
Tl		L3M1	8953.1	1.9	8953.28	0.29						1d
Yb		L1M5	8958.9	2.2	8960.64	0.19						76d
Ho		L1N1	8962.6	4.2								
W		L2M2	8970.3	1.8	8953.03	0.65						58d
Ta		L1M1	8973.2	3.1								
Cu		KM4	8977.49	0.56	8977.14	0.29					KM4,5	1d
Cu		KM5	8977.82	0.58	8977.14	0.29					KM4,5	1d
Cu		KN1	8980.22	0.23								
Cu		K edge	8987.96	0.15	8980.476	0.020	8980.5	1.0	8987.89	0.50		13d 17v
Hg		L3M2	9005.1	1.9	9019.5	1.9						1d
Hf		L2M4	9022.4	1.3	9022.80	0.49						1d
Hf		L3N1	9025.9	3.0	9022.80	0.49						1d
Re		L2M1	9027.3	2.4	9027.27	0.49						1d
Dy		L1N6	9035.2	1.5								
Lu		L3N4	9037.0	1.4	9039.91	0.98						1d
Dy		L1N7	9037.6	1.5								
Ho		L1N2	9045.6	4.5	9051.1	2.0						1d
Dy		L1 edge	9048.0	1.2	9055.09	0.98	9046.1	2.7				1d
Lu		L3N5	9049.54	0.56	9049.01	0.29						1d
Ga		KL1	9067.89	0.75								
Hf		L2M5	9076.9	1.3								
Er		L2N4	9078.1	1.6	9088.9	2.0						1d
Ho		L1N3	9086.5	1.8	9087.6	2.0						1d
Er		L2N5	9090.26	0.63								
Ir		L3M4	9099.7	1.3	9099.62	0.49						1d
Hf		L3N2	9123.2	3.2	9123.93	0.89						1d
Tm		L2N1	9149.6	3.3	9144.6	2.0						1d
Hf		L1M3	9162.4	2.8	9163.51	0.50						1d
Ir		L3M5	9175.2	1.3	9175.18	0.30						1d
Au		L3M3	9176.1	2.0	9174.97	0.70						1d
Hf		L3N3	9181.18	0.81	9180.27	0.91						1d
Pb		L3M1	9186.0	1.9	9184.56	0.70						1d
Ta		L1M2	9212.6	2.7	9212.47	0.30						1d
Ho		L1N4	9216.4	2.7								
Ga		KL2	9225.10	0.49	9224.835	0.027						3d
Ho		L1N5	9228.1	1.5								
Lu		L1M4	9228.9	2.3	9231.7	2.0						1d
Lu		L3N6	9234.72	0.65								
Lu		L3N7	9236.64	0.68								
Tm		L2N2	9238.5	3.4	9225.2	2.1						53d
Tl		L3M2	9242.2	1.9	9241.79	0.51						1d
Ga		KL3	9251.89	0.45	9251.674	0.066						3d
Er		L2N6	9252.38	0.70								
Lu		L3 edge	9253.24	0.35	9249.0	1.0	9245.28	0.64				1d
Er		L2N7	9254.50	0.74								
W		L2M3	9263.7	1.9	9268.72	0.48						1,58,60d
Er		L2 edge	9264.40	0.42	9262.1	1.0	9266.9	1.8	9263.9	2.0		1d 21v
Re		L2M2	9278.5	1.8	9275.9	1.0						1d
Lu		L1M5	9279.7	2.2	9281.5	1.0						1d
W		L1M1	9280.7	3.1	9278.10	0.68						1,60d
Tm		L2N3	9285.08	0.92								
Er		L1N1	9300.7	4.2								
Ta		L3N1	9332.8	3.1	9315.40	0.83						1d
Hf		L3N4	9335.2	1.5	9337.21	0.52						1d
Os		L2M1	9336.6	2.4	9337.07	0.73						1d
Ta		L2M4	9343.4	1.3	9343.19	0.31						1d
Hf		L3N5	9348.54	0.55	9347.35	0.52						1d
Pt		L3M4	9362.0	1.3	9361.96	0.21						1d
Ho		L1N6	9382.7	1.5								
Ho		L1N7	9385.0	1.6								
Er		L1N2	9386.6	4.4	9385.5	2.1						1d
Ho		L1 edge	9395.2	1.2	9399.7	1.1	9395.8	2.0				1d
Ta		L2M5	9401.7	1.3	9399.94	0.95						1d
Bi	209	L3M1	9420.7	1.9	9420.43	0.74						1d
Tm		L2N4	9423.9	1.3	9426.2	2.1						1d
Er		L1N3	9430.3	1.8	9431.2	1.1						1d
Ta		L3N2	9432.9	3.2	9416.1	1.1						1d
Tm		L2N5	9436.02	0.63								
Hg		L3M3	9437.1	2.0	9455.6	2.1						1d
Pt		L3M5	9442.3	1.3	9442.39	0.32						1d
Pb		L3M2	9481.6	1.9	9481.16	0.75						1d
Ta		L1M3	9487.1	2.8	9487.62	0.32						1d
Yb		L2N1	9492.7	3.1	9491.1	1.1						1d
Ta		L3N3	9495.40	0.80	9474.4	1.1						1d
Zn		KM1	9522.7	1.4								
W		L1M2	9526.0	2.8	9525.23	0.54						1d
Hf		L3N6	9541.24	0.66	9525.01	0.97					L3N6,7	1d
Hf		L3N7	9543.46	0.69	9525.01	0.97					L3N6,7	1d
Hf		L1M4	9554.0	2.3	9550.40	0.98						1d
Er		L1N4	9564.3	2.4	9569.15	0.74					L1N4,5	51d
Hf		L3 edge	9567.88	0.36	9558.286	0.050	9558	11				13d
Zn		KM2	9570.8	1.2	9572.03	0.22					KM2,3	1d
Zn		KM3	9573.6	1.2	9572.03	0.22					KM2,3	1d
Er		L1N5	9576.5	1.5	9569.15	0.74					L1N4,5	51d
Yb		L2N2	9584.4	3.2								
Re		L2M3	9592.1	2.0	9591.0	1.1						1d
Os		L2M2	9593.9	1.9	9585.8	2.2						1d
Re		L1M1	9595.6	3.2								
Tm		L2N6	9605.83	0.72								
Tm		L2N7	9607.72	0.76								
Hf		L1M5	9608.4	2.2	9609.17	0.99						1d
W		L3N1	9613.2	3.1	9608.199	0.074						1,58d
Tm		L2 edge	9617.34	0.43	9617.0	1.1	9615.5	2.0				1d
Au		L3M4	9628.1	1.3	9628.05	0.33						1d
Yb		L2N3	9633.83	0.89								
Tm		L1N1	9646.7	4.1								
Zn		KM4	9650.97	0.59	9649.9	1.1					KM4,5	1d
Zn		KM5	9651.31	0.59	9649.9	1.1					KM4,5	1d
Ir		L2M1	9653.0	2.5	9652.34	0.33						1d
Po	209	L3M1	9657.6	2.0	9664.2	5.6						1d
Zn		KN2			9658.05	0.22					KN2,3	1d
Zn		KN3			9658.05	0.22					KN2,3	1d
Zn		KN1	9659.54	0.23								
Zn		K edge	9668.55	0.15	9660.755	0.030	9660.7	1.2				13d
Ta		L3N5	9668.78	0.56	9651.89	0.22						1d
W		L2M4	9672.1	1.3	9672.575	0.100						1,58d
Ge		KL1	9692.08	0.84								
Tl		L3M3	9701.8	2.0	9700.75	0.56						1d
Ta		L3N4	9708.2	1.6	9639.50	0.55						1d
Au		L3M5	9713.3	1.2	9713.44	0.34						1d
W		L3N2	9716.8	3.4	9712.7	2.3						1d
Bi	209	L3M2	9723.0	1.9	9725.6	1.1						1d
W		L2M5	9734.5	1.3	9735.08	0.73						1,60d
Tm		L1N2	9735.6	4.3	9730.2	2.3						1d
Er		L1N6	9738.6	1.6								
Er		L1N7	9740.7	1.6								
Er		L1 edge	9750.6	1.3	9757.8	1.1	9751.4	1.1				1d
Yb		L2N4	9778.2	1.0	9780.18	0.57						1d
Tm		L1N3	9782.2	1.8	9779.3	2.3						1d
W		L3N3	9783.42	0.79	9767.238	0.077						1,58d
Yb		L2N5	9790.13	0.65								
W		L1M3	9819.5	2.9	9818.91	0.46						1,58d
Lu		L2N1	9843.9	3.1	9843.0	1.2						1d
Re		L1M2	9846.8	2.8	9846.35	0.58						1d
Ge		KL2	9855.67	0.51	9855.42	0.10						1d
Ta		L3N6	9868.99	0.67	9857.23	0.46					L3N6,7	1d
Ta		L3N7	9871.52	0.70	9857.23	0.46					L3N6,7	1d
Ge		KL3	9886.67	0.46	9886.52	0.11						1d
Ta		L1M4	9887.0	2.3	9889.3	2.3						1d
At	210	L3M1	9896.4	2.0								
Ta		L3 edge	9898.04	0.36	9876.7	1.2	9878.7	2.7				1d
Hg		L3M4	9898.1	1.3	9897.68	0.82						1d
Re		L3N1	9912.4	3.1	9910.66	0.59						1d
Ir		L2M2	9916.5	1.9	9917.0	3.5						1d
Os		L1M1	9917.6	3.2								
Tm		L1N4	9921.0	2.2								
Os		L2M3	9928.7	2.0	9934.5	2.4						1d
Tm		L1N5	9933.1	1.5								
Lu		L2N2	9938.7	3.3								
Ta		L1M5	9945.3	2.2	9945.6	2.4						1d
W		L3N4	9948.5	2.0	9947.95	0.35						1d
W		L3N5	9962.99	0.56	9964.133	0.078						1,58d
Po	209	L3M2	9966.7	2.0								
Yb		L2N6	9967.79	0.73								
Yb		L2N7	9969.53	0.78								
Pb		L3M3	9970.2	2.0	9967.63	0.83						1d
Pt		L2M1	9976.8	2.4	9975.2	2.4						1d
Yb		L2 edge	9978.70	0.44	9976.0	1.2	9971.46	0.56	9978.1	2.0		1d 21v
Hg		L3M5	9988.6	1.2	9988.91	0.60						1d
Lu		L2N3	9992.28	0.91								
Yb		L1N1	10000.8	4.0								
Re		L2M4	10009.0	1.4	10010.04	0.24						1d
Re		L3N2	10018.4	3.2								
Re		L2M5	10075.6	1.3	10075.8	1.2						1d
Re		L3N3	10090.77	0.79	10093.8	1.2						1d
Yb		L1N2	10092.6	4.2	10089.79	0.85						1d
Tm		L1N6	10102.9	1.6								
Tm		L1N7	10104.8	1.7								
Tm		L1 edge	10114.4	1.3	10121.0	1.2	10111.9	2.3				1d
Rn	222	L3M1	10137.2	2.0								
Lu		L2N4	10141.2	1.5	10143.53	0.49						1d
Yb		L1N3	10142.0	1.8	10143.20	0.61						1d
Lu		L2N5	10153.73	0.64								
Re		L1M3	10160.4	2.9	10159.90	0.62						1d
W		L3N6	10170.58	0.69	10173.49	0.62					L3N6,7	1d
Tl		L3M4	10171.8	1.3	10172.91	0.37						1d
W		L3N7	10173.18	0.68	10173.49	0.62					L3N6,7	1d
Os		L1M2	10174.9	2.8	10175.50	0.62						1d
Hf		L2N1	10203.6	3.2	10201.20	0.62						1d
Ga		KM1	10210.4	1.3								
At	210	L3M2	10212.4	2.0								
W		L3 edge	10214.26	0.36	10200.1	1.2	10200.9	8.3				1d
Os		L3N1	10217.4	3.2	10217.00	0.62						1d
W		L1M4	10227.8	2.3	10228.29	0.24						76d
Bi	209	L3M3	10242.6	2.1	10242.2	1.3						1d
Pt		L2M2	10246.6	1.9	10221	12						1d
Ir		L1M1	10246.9	3.2	10244.8	2.5						1d
Re		L3N4	10261.0	1.9	10261.82	0.63						1d
Ga		KM2	10261.8	1.1	10260.28	0.64						1,3d
Ga		KM3	10265.8	1.2	10264.19	0.29						1,3d
Tl		L3M5	10267.9	1.2	10268.62	0.50						1d
Ir		L2M3	10273.7	2.0	10272.8	2.5						1d
Re		L3N5	10276.46	0.57	10275.35	0.50						1d
Yb		L1N4	10286.3	1.9	10297.90	0.86					L1N4,5	55d
W		L1M5	10290.3	2.2	10291.13	0.22						76d
Yb		L1N5	10298.3	1.6	10297.90	0.86					L1N4,5	55d
Hf		L2N2	10301.0	3.3								
Au		L2M1	10308.2	2.6	10308.41	0.38						1d
Os		L3N2	10326.5	3.2	10324.46	0.89						1d
As		KL1	10336.70	0.82								
Lu		L2N6	10338.91	0.74								
Lu		L2N7	10340.83	0.78								
Ga		KM4	10349.92	0.60	10348.2	2.6					KM4,5	1d
Ga		KM5	10350.49	0.61	10348.2	2.6					KM4,5	1d
Os		L2M4	10354.3	1.4	10355.42	0.64						1d
Lu		L2 edge	10357.43	0.44	10344.8	1.3	10349.66	0.52				1d
Hf		L2N3	10358.90	0.90								
Lu		L1N1	10363.7	4.0								
Ga		KN1	10365.69	0.34								
Ga		KN3			10366.42	0.26					KN2,3	1d
Ga		KN2	10370.50	0.21	10366.42	0.26					KN2,3	1d
Ga		K edge	10377.76	0.16	10368.1	1.3	10368.31	0.44				1d
Fr	223	L3M1	10379.8	2.0								
Os		L3N3	10404.12	0.78								
Os		L2M5	10425.2	1.3	10420.70	0.91						1d
Pb		L3M4	10449.5	1.3	10449.59	0.65						1d
Lu		L1N2	10458.4	4.2	10460.0	2.6						1d
Rn	222	L3M2	10460.2	2.0								
Yb		L1N6	10475.9	1.7								
Yb		L1N7	10477.7	1.7								
Yb		L1 edge	10486.8	1.4	10491.0	1.3	10483.5	5.4				1d
Re		L3N6	10491.9	1.2	10493.6	1.3					L3N6,7	1d
Re		L3N7	10494.9	1.3	10493.6	1.3					L3N6,7	1d
As		KL2	10507.84	0.51	10507.50	0.15						3d
Os		L1M3	10509.7	3.0	10510.99	0.92						1d
Ir		L1M2	10510.4	2.9	10510.72	0.40						1d
